사업장명,업종구분소분류,상세영업상태명,소재지전체주소,도로명전체주소,Reviews,stars,stars_vote_num,n_reviews,n_stars,소재지,법정동
정가네연탄구이,한식,영업,제주특별자치도 서귀포시 성산읍 수산리 274-1번지 ,제주특별자치도 서귀포시 성산읍 서성일로 1047,42,4.7,19,0,0.0,서귀포시,성산
기똥차네,한식,영업,제주특별자치도 서귀포시 성산읍 성산리 234-12번지 ,제주특별자치도 서귀포시 성산읍 성산등용로 13-1,93,4.0,35,0,0.0,서귀포시,성산
막둥이해녀복순이네,한식,영업,제주특별자치도 서귀포시 성산읍 고성리 2133번지 ,제주특별자치도 서귀포시 성산읍 서성일로 1129,44,4.4,42,0,0.0,서귀포시,성산
산도롱맨도롱,한식,영업,제주특별자치도 서귀포시 성산읍 신산리 1036-6번지 ,제주특별자치도 서귀포시 성산읍 일주동로 5105,393,3.5,183,0,0.0,서귀포시,성산
섭지코지화덕피자,양식,영업,제주특별자치도 서귀포시 성산읍 고성리 204-2 ,제주특별자치도 서귀포시 성산읍 신양로 102,74,3.5,29,0,0.0,서귀포시,성산
성산바다,한식,영업,제주특별자치도 서귀포시 성산읍 고성리 864-1번지 ,제주특별자치도 서귀포시 성산읍 신양로 29-2,31,4.0,30,0,0.0,서귀포시,성산
섬사랑,한식,영업,제주특별자치도 서귀포시 서홍동 678번지 ,제주특별자치도 서귀포시 남성중로 2-3 (서홍동),110,3.8,8,0,0.0,서귀포시,서귀포
국수마을,한식,영업,제주특별자치도 서귀포시 성산읍 고성리 298-6번지 ,제주특별자치도 서귀포시 성산읍 동류암로 30,39,3.9,17,0,0.0,서귀포시,성산
최고집,한식,영업,제주특별자치도 서귀포시 서호동 1477-6번지 ,제주특별자치도 서귀포시 김정문화로 71 (서호동),41,4.2,35,0,0.0,서귀포시,서귀포
와갱이,한식,영업,제주특별자치도 서귀포시 성산읍 삼달리 1788-7 ,제주특별자치도 서귀포시 성산읍 중산간동로 4330,46,5.0,1,0,0.0,서귀포시,성산
신산리마을카페,카페,영업,제주특별자치도 서귀포시 성산읍 신산리 1130-2번지 ,제주특별자치도 서귀포시 성산읍 환해장성로 33,38,4.3,48,0,0.0,서귀포시,성산
제이앤클로이,카페,영업,제주특별자치도 서귀포시 대정읍 3869-4번지 ,제주특별자치도 서귀포시 대정읍 무릉중앙로 203,35,3.6,20,0,0.0,서귀포시,대정
큰엉식당,한식,영업,제주특별자치도 서귀포시 남원읍 남원리 2374-1번지 외2필지 2층 ,제주특별자치도 서귀포시 남원읍 태위로 526,56,3.8,30,0,0.0,서귀포시,남원
듀크서프비스트로,한식,영업,제주특별자치도 서귀포시 중문동 2121번지 ,제주특별자치도 서귀포시 천제연로188번길 6-6 (중문동),38,4.7,26,0,0.0,서귀포시,중문
고기의법칙,한식,영업,제주특별자치도 서귀포시 중문동 2083-2 ,제주특별자치도 서귀포시 천제연로 183-1 (중문동),175,4.7,12,0,0.0,서귀포시,중문
페이보리오리,경양식,영업,제주특별자치도 서귀포시 하효동 848 ,제주특별자치도 서귀포시 효돈순환로 252 (하효동),85,4.7,23,0,0.0,서귀포시,서귀포
